protein,tier,accession,n_mr_outcomes,top_mr_outcome,top_mr_beta,top_mr_p,n_pqtl_datasets,pqtl_ids,n_genetic_diseases,top_genetic_disease,top_genetic_score,n_opportunity_rows,n_burden_diseases,top_burden_disease,n_established,n_exploratory_burden,n_multilayer,chembl_target,n_modulators,pLI,LOEUF,gwas_unique_snps,n_gwas_traits,n_gw_significant,top_gwas_trait,top_gwas_p,clinvar_records,pgx_annotations,errors,generated_at
A1CF,A,Q9NQ94,112,Serum creatinine (eGFRcrea),-0.0139875188293523,3.43623950261922e-06,0,,7,gout,0.821,7,0,,1,0,0,,,1.147231508542335e-11,0.8866231130207745,57,104,171,Serum urate levels,8e-95,92,,,2026-08-14T00:50:27
ACE,A,P12821,107,Non-cancer illness code  self-reported: hypertension,-0.029626496,4.46e-05,0,,13,hypertensive disorder,0.806,12,0,,4,0,0,CHEMBL1808,17,7.628967825190318e-31,0.8736380337442785,73,55,75,Angiotensin-converting enzyme levels,2e-746,861,27,,2026-08-14T00:50:48
ACHE,A,P22303,127,Pulse rate,0.085599663,2.12e-09,0,,3,Abnormality of the skeletal system,0.785,3,0,,0,0,0,CHEMBL220,20,0.9482610303574963,0.5176770906385761,102,22,39,ACHE protein levels,2e-174,100,1,,2026-08-14T00:51:12
ACP1,A,P24666,115,Height,0.0121261115602264,1.30684778577615e-06,1,prot-c-3858_5_1,19,myopia,0.601,13,0,,0,0,0,CHEMBL4903,0,1.8213574089206714e-08,1.394331431382761,90,56,57,Low molecular weight phosphotyrosine protein phosphatase levels (ACP1.3858.5.1),1e-1095,104,,,2026-08-14T00:51:28
ACP2,A,P11117,113,Systemic lupus erythematosus,-0.576335673195359,0.0012258134057252,0,,16,clear cell renal carcinoma,0.378,13,0,,2,0,0,,,8.383036182512512e-08,0.847998653562784,142,34,38,"high density lipoprotein cholesterol (HDLC, mean, inv-norm transformed)",5e-69,97,,,2026-08-14T00:51:49
ACP5,A,P13686,88,Paget's disease,-0.584402476780186,0.000852168939575363,1,prot-c-3232_28_2,5,Spondyloenchondrodysplasia with immune dysregulation,0.909,5,0,,2,0,0,CHEMBL3120042,0,1.0987726668425463e-07,1.1777967487702694,49,4,9,Circulating ACP5 levels,6e-971,368,,,2026-08-14T00:52:06
ACP6,A,Q9NPH0,105,Non-cancer illness code  self-reported: hypertension,0.014344114,0.002195596,0,,5,ventricular septal defect,0.538,5,0,,1,0,0,,,8.319677142208064e-17,1.2683361740485413,88,18,39,Circulating ACP6 levels,2e-4526,393,,,2026-08-14T00:52:18
ADA2,A,Q9NZK5,120,Weight,-0.00895014782806459,0.000525186710569249,0,,12,deficiency of adenosine deaminase 2,0.916,12,0,,10,0,0,,,6.984018644791961e-07,0.8938528357003451,104,25,48,Adenosine deaminase CECR1 levels,3e-985,705,,,2026-08-14T00:52:33
ADAM12,A,O43184,93,Diagnoses - main ICD10: S76 Injury of muscle and tendon at hip and thigh level,0.854348797,0.000942292,1,prot-c-4420_7_2,19,intelligence,0.524,15,0,,0,0,0,CHEMBL5030,0,2.9333503780508964e-15,0.8029665617078553,120,59,48,ADAM12 protein levels,8e-74,221,,,2026-08-14T00:52:50
ADAM15,A,Q13444,75,Non-cancer illness code  self-reported: high cholesterol,-0.243289811709403,3.74006279226831e-06,0,,14,Varicose veins,0.652,14,0,,0,0,0,CHEMBL2331050,0,2.1990707892348343e-17,0.8181058513136925,138,76,97,Circulating ADAM15 levels,4e-3324,224,,,2026-08-14T00:53:09
